Iteration,Loop_Count,Tuple Time (ns),Variadic Expressions Time (ns),Command Interface Time (ns)
79,10,135022600,64012000,174405700
79,100,257255300,79990900,217336300
79,1000,892061800,64275200,902080200
80,10,153933200,63700400,175054200
80,100,273322700,64814600,219818200
80,1000,916112000,64273399,904150500
81,10,138588300,63732399,175108700
81,100,238406100,63819299,219574400
81,1000,918942300,64597800,907253100
82,10,134878000,65056300,180122600
82,100,206909700,63806699,217880100
82,1000,923055500,64264699,905421700
83,10,135759800,69081400,173505600
83,100,203998400,64471100,250896999
83,1000,919830600,64697800,926161600
84,10,143469500,64331500,149259900
84,100,236103900,80209800,253802199
84,1000,891057200,67555700,906104900
85,10,148137900,63993100,148694800
85,100,238391700,80235000,252992100
85,1000,922331700,64618900,903509900
86,10,139621700,64569900,181691200
86,100,248782700,74190800,217522800
86,1000,888442000,67835200,902109500
87,10,137035200,64654100,184881300
87,100,259687300,64611600,219222700
87,1000,917670200,64635300,904238400
88,10,134861800,64541000,180441900
88,100,247727000,69490500,232524100
88,1000,932551000,64342100,901082100
89,10,136662800,64114400,182543500
89,100,205109200,64545000,220067100
89,1000,930032100,64405100,902105600
90,10,135437600,64204500,196642100
90,100,202988400,64861900,249485900
90,1000,928352700,64718300,904378700
91,10,138556200,75401500,150919200
91,100,203680700,81933400,253615400
91,1000,906100400,69606600,930846700
92,10,139666900,64449099,149779000
92,100,235111600,80392400,237177400
92,1000,890214700,64329700,903222700
93,10,134837000,68088700,189895300
93,100,246132700,76128800,221771600
93,1000,895061200,65235400,905528700
94,10,135102200,66733600,195681700
94,100,253119100,72886500,235933700
94,1000,929795000,65476300,909260600
95,10,139492900,65949999,187971400
95,100,205962300,63796400,218425900
95,1000,926182400,65154400,903731700
96,10,135880500,66003099,169327100
96,100,204441300,85820900,258657600
96,1000,910740400,70107900,908257800
97,10,144894900,65600900,149818300
97,100,212532000,81868000,254760300
97,1000,898781100,66920200,906993800
98,10,161701000,63737199,149533600
98,100,234077400,80182300,243401600
98,1000,891360600,64386100,912197000
99,10,141907600,64082700,148781500
99,100,231468600,82327000,222984000
99,1000,896275100,65215800,903103200
100,10,138238200,67587000,181273900
100,100,255863300,64282700,216163000
100,1000,923715200,64167300,906370600
101,10,135400700,64159499,181105900
101,100,242408700,64774700,219035300
101,1000,919561000,64266300,903019100
102,10,135314100,64417400,183021900
102,100,206591800,63934200,217285400
102,1000,927925100,64451600,903196800
103,10,138256900,64289100,173952200
103,100,204011700,64245500,253725199
103,1000,954023200,64628500,909033800
104,10,141128600,70374700,150112200
104,100,204727700,82543200,250854399
104,1000,893410400,73697300,909330800
105,10,136022400,63883300,150360500
105,100,233026000,79986300,239436700
105,1000,890510800,64456799,900979600
106,10,135154300,64005000,178735500
106,100,261841500,79852600,217926100
106,1000,889611800,64397800,901124000
107,10,135137200,63741900,177714300
107,100,263566800,64418900,221100100
107,1000,918426800,64491200,906898700
108,10,153599700,63725599,175063800
108,100,262982000,63834900,218640400
108,1000,926151000,64140699,903410800
109,10,134839100,64699599,182708800
109,100,203875700,64170800,244520200
109,1000,946444100,67145300,903230100
110,10,136117800,68299100,151527600
110,100,203815200,63907900,250603699
110,1000,899106300,63984700,905503000
111,10,149651100,71318400,149053100
111,100,229881700,79867900,248657600
111,1000,891991000,90204600,903633700
112,10,143664500,64059800,149449900
112,100,228773800,82659000,217904500
112,1000,891213600,64460199,903802500
113,10,135792300,66683500,177151200
113,100,262952000,64584800,221910400
113,1000,916416700,64439000,904623800
114,10,135308300,63905100,178223000
114,100,265305100,68615500,218652900
114,1000,924066300,64325400,907298100
115,10,134528600,63968500,182181400
115,100,207987000,63986199,219297600
115,1000,930840200,64351000,921991200
116,10,134404500,66076500,161280800
116,100,205173500,63984000,248382600
116,1000,925877800,63817299,908012300
117,10,165239500,64540500,148998000
117,100,234511700,80467900,253167199
117,1000,893181100,83755700,915896500
118,10,136774500,64016400,152396700
118,100,231583700,80128900,245137800
118,1000,894870400,64386500,904018200
119,10,135646400,64979700,179038200
119,100,253647799,79051000,218179500
119,1000,891722100,64470200,900675600
120,10,135671200,64553799,179335000
120,100,259833300,64180600,217409100
120,1000,921468000,64855100,907467100
121,10,134930000,64145700,180589600
121,100,248288600,64140300,217652400
121,1000,926347700,64386100,904618300
122,10,134672800,67441100,185335000
122,100,205256800,63803600,218983900
122,1000,921604400,64513100,901988300
123,10,154661900,64727999,169696900
123,100,204447700,64172099,244820300
123,1000,918970500,66480399,903746200
124,10,141592800,67684800,148866100
124,100,205446900,82970600,252693900
124,1000,911310100,64480100,910071100
125,10,142036900,63523300,156923000
125,100,231445000,81229400,251354800
125,1000,891225700,64327600,908475100
126,10,157978600,64630800,151009400
126,100,244663500,83228700,221184100
126,1000,892554700,64527200,901957900
127,10,135159500,63877699,178337300
127,100,257920400,69033900,218548300
127,1000,891467600,64869700,908716200
128,10,134256600,64023600,179818500
128,100,265502699,64830900,217580400
128,1000,915965400,64965800,905471700
129,10,135725100,64307800,180730800
129,100,233370100,63941000,218518600
129,1000,926722100,64770700,902492100
130,10,134644000,65874400,187492500
130,100,204908500,64236000,217875700
