Iteration,N,Tuple Time (ns),Variadic Expressions Time (ns),Command Interface Time (ns)
67,40000,1102600,947600,1305300
68,40000,663100,1090500,1455200
69,40000,641600,1046099,1475700
70,40000,651500,942000,1364500
71,40000,624900,896200,1316900
72,40000,903400,1186300,1608600
73,40000,625800,1155200,1491900
74,40000,648400,993600,1437400
75,40000,633400,1068100,1464000
76,40000,664500,934800,1393100
77,40000,627500,796400,1325000
78,40000,639800,901000,1367800
79,40000,660100,797300,1183400
80,40000,709500,905400,1331400
81,40000,613600,936100,1441100
82,40000,628800,918500,1379300
83,40000,640600,986700,1420000
84,40000,665800,1091100,1417300
85,40000,1475100,1012799,1387400
86,40000,780100,1050200,1366800
87,40000,725400,1098700,1529700
88,40000,626500,1471900,2177800
89,40000,671200,966300,1483200
90,40000,625200,1030399,1536200
91,40000,624600,956100,1493900
92,40000,639400,1067200,1540400
93,40000,627300,978200,1542700
94,40000,656800,917600,1350600
95,40000,842200,968900,1632000
96,40000,685300,932500,1555400
97,40000,693200,904900,1470200
98,40000,622400,1076300,1654500
99,40000,723900,887700,1290400
100,40000,644300,935600,1359700
101,40000,643500,845800,1414600
102,40000,625100,913100,1358700
103,40000,611000,959300,1287100
104,40000,634700,940900,1529900
105,40000,650400,1130800,1574500
106,40000,617200,949900,1851800
107,40000,735500,1017799,1412200
108,40000,991300,1111100,1657100
109,40000,1062800,939400,1488100
110,40000,624700,922200,1330100
111,40000,658100,1065000,1997300
112,40000,626100,1150900,1452200
113,40000,623900,924600,1681100
114,40000,634100,1099700,1540100
115,40000,646800,1021999,1468000
116,40000,1030700,1094200,1386000
117,40000,889500,999200,1360400
118,40000,932900,1233000,1725400
119,40000,621200,1023300,1451800
120,40000,666100,1081300,1613800
121,40000,672300,1049800,1448700
122,40000,680100,1068000,1519100
123,40000,637800,962600,1452800
124,40000,626800,1013999,1495700
125,40000,621100,981600,1510600
126,40000,633100,997499,1394800
127,40000,659700,1031400,1644100
128,40000,670000,1021100,1353600
129,40000,731400,833100,1706000
130,40000,837200,1042900,1354200
131,40000,724200,1045700,1523400
132,40000,613700,1097400,1447800
133,40000,643500,1046099,1438200
134,40000,826800,1005199,1364800
135,40000,631700,1022600,1349600
136,40000,655200,1021800,1454500
137,40000,825100,1078800,1446700
138,40000,649800,1015200,1450600
139,40000,686500,1002899,1438100
140,40000,656700,1468800,1922000
141,40000,868500,1306500,1590900
142,40000,716800,909900,1257800
143,40000,929200,946000,1366200
144,40000,668000,1038099,1521800
145,40000,620200,932700,1331800
146,40000,640100,1071200,1498100
147,40000,641700,957400,1342300
148,40000,1575400,951100,1380700
149,40000,679800,1097100,1381900
150,40000,747700,1112900,1456600
151,40000,627800,1146000,1491800
152,40000,631300,1033600,1633700
153,40000,633700,1141900,1677500
154,40000,615100,1120900,1463100
155,40000,639900,1060300,1383100
156,40000,862900,1272600,1395500
157,40000,651500,1010200,1407500
158,40000,616400,1062600,1471200
159,40000,1061400,1261200,1541500
160,40000,735000,1032600,1524000
161,40000,896700,1085400,1360500
162,40000,662300,1047200,1473300
163,40000,689500,1059300,1519900
164,40000,1081400,1173600,1772200
165,40000,833500,1126700,1499500
166,40000,643800,1036000,1570000
167,40000,645600,1088800,1480900
168,40000,711300,1061900,1508300
